Name,Endangerment,Speakers,Latitude,Longitude,CountriesCount,Countries
Cahuilla,Critically endangered,30,33.5404,-116.7436,1,United States of America
Cambap,Critically endangered,30,6.4872,11.802,1,Cameroon
Carijona,Critically endangered,30,-1.2743,-70.1147,1,Colombia
Chintaw,Critically endangered,30,24.9263,98.2414,1,China
Comox/Sliammon,Critically endangered,30,49.6795,-124.9542,1,Canada
Djeoromitxi,Severely endangered,30,-12.05,-64.6655,1,Brazil
Duriankere,Critically endangered,30,-1.3896,130.9247,1,Indonesia
Goundo,Critically endangered,30,9.4761,16.2652,1,Chad
Kwerisa,Critically endangered,30,-2.9759,138.153,1,Indonesia
Mono (Eastern),Critically endangered,30,37.3674,-118.3953,1,United States of America
Ngalkbun,Severely endangered,30,-13.5178,134.6264,1,Australia
Punan Batu,Critically endangered,30,2.6021,114,1,Malaysia
Sia Pedee,Critically endangered,30,0.9887,-79.1674,1,Ecuador
Valley Yokuts,Severely endangered,30,36.0582,-119.5241,1,United States of America
Warnman,Severely endangered,30,-22.9786,122.7832,1,Australia
Wik Ngencherr,Severely endangered,30,-14.0939,141.8554,1,Australia
Wiradjuri,Critically endangered,30,-34.5608,147.041,1,Australia
Malinaltepec Tlapanec,Vulnerable,29,17.2451,-98.6717,1,Mexico
Ahtna,Critically endangered,25,62.7547,-144.3164,1,United States of America
Bieria,Critically endangered,25,-16.8045,168.2446,1,Vanuatu
Caddo,Critically endangered,25,35.0985,-98.2603,1,United States of America
Columbian,Critically endangered,25,48.1764,-119.0523,1,United States of America
Iquito,Critically endangered,25,-3.6449,-74.1577,1,Peru
Kwazá,Critically endangered,25,-12.651,-60.4138,1,Brazil
Marrithiyel,Critically endangered,25,-13.806,130.0451,1,Australia
Massep,Critically endangered,25,-1.7575,138.3178,1,Indonesia
Mor,Severely endangered,25,-2.8607,132.7697,1,Indonesia
Pisamira,Critically endangered,25,1.0656,-70.4388,1,Colombia
Sakurabiat,Severely endangered,25,-12.967,-61.2652,1,Brazil
Upper Kuskokwim,Critically endangered,25,63.0091,-154.3889,1,United States of America
